id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype	id	node1	node1;label	label	label;label	node2	node2;label	node2;wikidatatype
Q155-P2936-Q3401023-6419593c-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3401023	'Poyanáwa'@en	wikibase-item								
Q155-P2936-Q7261619-b4b17799-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7261619	'Purubora'@en	wikibase-item								
Q155-P2936-Q7261687-a7889c93-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7261687	'Purí'@en	wikibase-item								
Q155-P2936-Q35539-02b8639e-0	Q155	'Brazil'@en	P2936	'language used'@en	Q35539	'Ramarama'@en	wikibase-item								
Q155-P2936-Q2585357-4d6349e7-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2585357	'Rikbaktsa'@en	wikibase-item								
Q155-P2936-Q3460478-14704dbd-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3460478	'Sabanês'@en	wikibase-item								
Q155-P2936-Q3304806-559ff5de-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3304806	'Sakirabiá'@en	wikibase-item								
Q155-P2936-Q7406296-06965775-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7406296	'Salumá'@en	wikibase-item								
Q155-P2936-Q251728-7781f8b2-0	Q155	'Brazil'@en	P2936	'language used'@en	Q251728	'Sanumá'@en	wikibase-item								
Q155-P2936-Q61974839-b95a1326-0	Q155	'Brazil'@en	P2936	'language used'@en	Q61974839	'Shanenawa'@en	wikibase-item								
Q155-P2936-Q2028772-4fcc771b-0	Q155	'Brazil'@en	P2936	'language used'@en	Q2028772	'Shiriana'@en	wikibase-item								
Q155-P2936-Q3443734-afd2dc84-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3443734	'Sikiana'@en	wikibase-item								
Q155-P2936-Q3485264-5ddc2e1b-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3485264	'Siriano'@en	wikibase-item								
Q155-P2936-Q10322149-fba838c7-0	Q155	'Brazil'@en	P2936	'language used'@en	Q10322149	'Suruí do Pará'@en	wikibase-item								
Q155-P2936-Q7646993-1e5df2ed-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7646993	'Suruí'@en	wikibase-item								
Q155-P2936-Q3505859-deab6717-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3505859	'Suyá'@en	wikibase-item								
Q155-P2936-Q7665661-d14455d8-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7665661	'São Paulo Kaingáng'@en	wikibase-item								
Q155-P2936-Q12953908-96d8de24-0	Q155	'Brazil'@en	P2936	'language used'@en	Q12953908	'Tapeba'@en	wikibase-item								
Q155-P2936-Q7684673-8e685a9a-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7684673	'Tapirapé'@en	wikibase-item								
Q155-P2936-Q732726-528c85d3-0	Q155	'Brazil'@en	P2936	'language used'@en	Q732726	'Tariana'@en	wikibase-item								
Q155-P2936-Q63340139-89195ffc-0	Q155	'Brazil'@en	P2936	'language used'@en	Q63340139	'Tawandê'@en	wikibase-item								
Q155-P2936-Q10322157-53c44523-0	Q155	'Brazil'@en	P2936	'language used'@en	Q10322157	'Tembé'@en	wikibase-item								
Q155-P2936-Q10266010-0dcdebd2-0	Q155	'Brazil'@en	P2936	'language used'@en	Q10266010	'Tenharim'@en	wikibase-item								
Q155-P2936-Q3314742-c3add61c-0	Q155	'Brazil'@en	P2936	'language used'@en	Q3314742	'Terêna'@en	wikibase-item								
Q155-P2936-Q1815205-484a665a-0	Q155	'Brazil'@en	P2936	'language used'@en	Q1815205	'Ticuna'@en	wikibase-item								
Q155-P2936-Q7808195-c98b0ea6-0	Q155	'Brazil'@en	P2936	'language used'@en	Q7808195	'Tingui-Botó'@en	wikibase-item								
Q155-P2936-Q56885-b0307faa-0	Q155	'Brazil'@en	P2936	'language used'@en	Q56885	'Tiriyó'@en	wikibase-item								
